Date,Region, Median.Sales.Price ,Homes.Sold,New.Listings,Inventory,Days.on.Market,Average.Sale.To.List,Unrate,T10Y,M30Y, UMCSENT , Sold.Inventory.Ratio ,Market.Type
20-Sep,"Boston, MA metro area",560000,5238,6891,9433,20,101.1,7.8,0.54,2.89,80.4,55.53,Seller
20-Oct,"Boston, MA metro area",550000,5265,6232,9306,20,101.2,6.8,0.64,2.83,81.8,56.58,Seller
20-Nov,"Boston, MA metro area",550000,4667,3625,7380,21,101.4,6.7,0.7,2.77,76.9,63.24,Seller
20-Dec,"Boston, MA metro area",550000,5291,2254,5056,22,100.8,6.7,0.8,2.68,80.7,104.65,Seller
21-Jan,"Boston, MA metro area",557000,3396,3354,5187,24,100.5,6.4,0.95,2.74,79,65.47,Seller
21-Feb,"Boston, MA metro area",550000,2581,3831,5095,27,100.4,6.2,1.14,2.81,76.8,50.66,Seller
21-Mar,"Boston, MA metro area",576000,3661,6202,5640,20,102.1,6.1,1.46,3.08,84.9,64.91,Seller
21-Apr,"Boston, MA metro area",601000,4295,6970,6522,19,103.2,6.1,1.47,3.06,88.3,65.85,Seller
21-May,"Boston, MA metro area",620000,4885,6127,6152,18,104.2,5.8,1.47,2.96,82.9,79.41,Seller
21-Jun,"Boston, MA metro area",650000,6431,7520,7030,17,105.1,5.9,1.32,2.98,85.5,91.48,Seller
21-Jul,"Boston, MA metro area",635000,5895,5621,7127,18,104.5,5.4,1.1,2.87,81.2,82.71,Seller
21-Aug,"Boston, MA metro area",625000,5699,4991,6551,19,103.6,5.1,1.07,2.84,70.3,86.99,Seller
21-Sep,"Boston, MA metro area",605000,5129,6603,7888,20,102.8,4.7,1.13,2.9,72.8,65.02,Seller
21-Oct,"Boston, MA metro area",600000,4450,4763,6851,20,102.3,4.5,1.19,3.07,71.7,64.95,Seller
21-Nov,"Boston, MA metro area",610000,4768,3454,5104,20,102.2,4.1,1.05,3.07,67.4,93.42,Seller
21-Dec,"Boston, MA metro area",620000,4903,1869,3210,21,102,3.9,0.79,3.1,70.6,152.74,Seller
22-Jan,"Boston, MA metro area",595000,3073,2768,3337,22,101.6,4,0.78,3.45,67.2,92.09,Seller
22-Feb,"Boston, MA metro area",595000,2215,3486,3563,22,102.4,3.8,0.5,3.76,62.8,62.17,Seller
22-Mar,"Boston, MA metro area",637000,3232,5954,4852,19,104.3,3.6,0.22,4.17,59.4,66.61,Seller
22-Apr,"Boston, MA metro area",675000,3612,5929,5595,17,105.6,3.7,0.21,4.98,65.2,64.56,Seller
22-May,"Boston, MA metro area",690000,4526,6348,5995,16,106.3,3.6,0.28,5.23,58.4,75.5,Seller
22-Jun,"Boston, MA metro area",705000,5713,6807,7203,16,105.9,3.6,0.15,5.52,50,79.31,Seller
22-Jul,"Boston, MA metro area",688000,4665,4797,7262,18,104.2,3.5,-0.14,5.41,51.5,64.24,Seller
22-Aug,"Boston, MA metro area",675000,4908,3970,6358,20,102.2,3.6,-0.35,5.22,58.2,77.19,Seller
22-Sep,"Boston, MA metro area",650000,4024,5155,7278,21,101.3,3.5,-0.34,6.11,58.6,55.29,Seller
22-Oct,"Boston, MA metro area",630000,3437,3888,6880,21,100.7,3.6,-0.39,6.9,59.9,49.96,Seller
22-Nov,"Boston, MA metro area",641000,3320,2803,5751,22,100.4,3.6,-0.61,6.81,56.7,57.73,Seller
22-Dec,"Boston, MA metro area",605000,3288,1285,4021,25,99.6,3.5,-0.67,6.36,59.8,81.77,Seller
23-Jan,"Boston, MA metro area",610000,2164,2454,4083,32,99.2,3.4,-0.68,6.27,64.9,53,Seller
23-Feb,"Boston, MA metro area",598000,1825,2657,3943,31,99.6,3.6,-0.79,6.26,66.9,46.28,Seller
23-Mar,"Boston, MA metro area",650000,2662,4425,4922,22,100.7,3.5,-0.64,6.54,62,54.08,Seller
23-Apr,"Boston, MA metro area",669000,2578,4092,5159,19,102.2,3.4,-0.56,6.34,63.7,49.97,Seller
23-May,"Boston, MA metro area",700000,3444,5182,5527,18,102.9,3.7,-0.56,6.43,59,62.31,Seller
23-Jun,"Boston, MA metro area",730000,4486,4382,5313,18,103.7,3.6,-0.89,6.71,64.2,84.43,Seller
23-Jul,"Boston, MA metro area",735000,3700,3543,5149,19,103.1,3.5,-0.93,6.84,71.5,71.86,Seller
23-Aug,"Boston, MA metro area",713000,3784,3442,4879,19,102.7,3.8,-0.73,7.07,69.4,77.56,Seller
23-Sep,"Boston, MA metro area",685000,3063,4463,5871,20,102.1,3.8,-0.64,7.2,67.8,52.17,Seller
23-Oct,"Boston, MA metro area",685000,3015,3797,5823,19,102,3.8,-0.27,7.62,63.8,51.78,Seller
23-Nov,"Boston, MA metro area",675000,3025,2682,5005,20,101.5,3.7,-0.38,7.44,61.3,60.44,Seller
23-Dec,"Boston, MA metro area",670000,2682,1253,3502,22,100.7,3.7,-0.44,6.82,69.7,76.58,Seller
24-Jan,"Boston, MA metro area",675000,1983,2713,3916,26,100.1,3.7,-0.26,6.64,79,50.64,Seller
24-Feb,"Boston, MA metro area",665000,1809,3156,4240,23,100.7,3.9,-0.34,6.78,76.9,42.67,Seller
24-Mar,"Boston, MA metro area",710000,2454,3643,4324,20,101.7,3.8,-0.38,6.82,79.4,56.75,Seller
24-Apr,"Boston, MA metro area",714000,2926,5127,5344,18,102.8,3.9,-0.33,6.99,77.2,54.75,Seller
24-May,"Boston, MA metro area",735000,3574,5796,6107,18,103.4,4,-0.37,7.06,69.1,58.52,Seller
12-Jan,"Chicago, IL metro area",140000,3989,8131,39017,96,93.8,8.3,1.73,3.92,75,10.22,Buyer
12-Feb,"Chicago, IL metro area",135000,4314,9649,39506,100,94.1,8.3,1.69,3.89,75.3,10.92,Buyer
12-Mar,"Chicago, IL metro area",150000,5739,11636,40214,102,94.6,8.2,1.83,3.95,76.2,14.27,Buyer
12-Apr,"Chicago, IL metro area",157000,6049,11116,40290,87,94.8,8.2,1.76,3.91,76.4,15.01,Equilibrium
12-May,"Chicago, IL metro area",170000,7279,11204,40140,70,95.1,8.2,1.52,3.8,79.3,18.13,Equilibrium
12-Jun,"Chicago, IL metro area",180000,7911,10781,39889,62,95.5,8.2,1.33,3.68,73.2,19.83,Equilibrium
12-Jul,"Chicago, IL metro area",172000,7383,9929,39240,62,95.4,8.2,1.28,3.55,72.3,18.81,Equilibrium
12-Aug,"Chicago, IL metro area",170000,8030,9645,37974,64,95.5,8.1,1.41,3.6,74.3,21.15,Seller
12-Sep,"Chicago, IL metro area",160000,6542,8743,37035,63,95.7,7.8,1.47,3.5,78.3,17.66,Equilibrium
12-Oct,"Chicago, IL metro area",154000,7215,8670,35049,66,95.4,7.8,1.47,3.38,82.6,20.59,Seller
12-Nov,"Chicago, IL metro area",155000,6638,6578,32256,68,95.4,7.7,1.39,3.35,82.7,20.58,Seller
12-Dec,"Chicago, IL metro area",151000,6439,5224,29424,69,95.3,7.9,1.46,3.35,72.9,21.88,Seller
13-Jan,"Chicago, IL metro area",141000,5461,9045,29424,75,95.6,8,1.65,3.41,73.8,18.56,Equilibrium
13-Feb,"Chicago, IL metro area",139000,5157,9625,29548,73,95.9,7.7,1.72,3.53,77.6,17.45,Equilibrium
13-Mar,"Chicago, IL metro area",155000,6883,10881,29332,66,96.2,7.5,1.7,3.57,78.6,23.47,Seller
13-Apr,"Chicago, IL metro area",173000,7934,12793,29923,50,96.8,7.6,1.53,3.45,76.4,26.51,Seller
13-May,"Chicago, IL metro area",184000,9490,12684,30540,43,97.1,7.5,1.68,3.54,84.5,31.07,Seller
13-Jun,"Chicago, IL metro area",207000,9576,12086,31102,39,97.3,7.5,1.97,4.07,84.1,30.79,Seller
13-Jul,"Chicago, IL metro area",203000,10142,11822,31473,38,97.5,7.3,2.24,4.37,85.1,32.22,Seller
13-Aug,"Chicago, IL metro area",198000,9971,11227,31430,39,97.5,7.2,2.38,4.46,82.1,31.72,Seller
13-Sep,"Chicago, IL metro area",185000,8315,10080,31899,41,97.3,7.2,2.41,4.49,77.5,26.07,Seller
13-Oct,"Chicago, IL metro area",175000,8099,9320,31753,44,97,7.2,2.28,4.19,73.2,25.51,Seller
13-Nov,"Chicago, IL metro area",170000,6639,6791,28078,50,96.8,6.9,2.41,4.26,75.1,23.64,Seller
13-Dec,"Chicago, IL metro area",175000,7129,5629,25837,52,97.1,6.7,2.56,4.46,82.5,27.59,Seller
14-Jan,"Chicago, IL metro area",164000,5081,7551,25573,59,96.7,6.6,2.46,4.43,81.2,19.87,Equilibrium
14-Feb,"Chicago, IL metro area",158000,4960,9155,26578,65,96.9,6.7,2.38,4.3,81.6,18.66,Equilibrium
14-Mar,"Chicago, IL metro area",176000,6234,12028,28049,61,96.8,6.7,2.32,4.34,80,22.23,Seller
14-Apr,"Chicago, IL metro area",188000,7370,14070,29920,45,97.3,6.2,2.29,4.34,84.1,24.63,Seller
14-May,"Chicago, IL metro area",210000,8483,14030,31374,37,97.3,6.3,2.17,4.19,81.9,27.04,Seller
14-Jun,"Chicago, IL metro area",220000,9686,13403,34225,33,97.4,6.1,2.15,4.16,82.5,28.3,Seller
14-Jul,"Chicago, IL metro area",220000,9617,12471,36399,33,97.4,6.2,2.04,4.13,81.8,26.42,Seller
14-Aug,"Chicago, IL metro area",217000,9020,10878,36223,40,97,6.1,1.95,4.12,82.5,24.9,Seller
14-Sep,"Chicago, IL metro area",198000,7925,10702,36190,44,96.7,5.9,1.97,4.16,84.6,21.9,Seller
14-Oct,"Chicago, IL metro area",187000,7931,9508,34902,50,96.5,5.7,1.86,4.04,86.9,22.72,Seller
14-Nov,"Chicago, IL metro area",183000,6118,6731,32351,54,96.3,5.8,1.8,4,88.8,18.91,Equilibrium
14-Dec,"Chicago, IL metro area",185000,7025,5360,29191,59,96.1,5.6,1.57,3.86,93.6,24.07,Seller
15-Jan,"Chicago, IL metro area",178000,4927,8430,29143,70,95.9,5.7,1.33,3.67,98.1,16.91,Equilibrium
15-Feb,"Chicago, IL metro area",172000,5036,9765,29961,78,95.8,5.5,1.36,3.71,95.4,16.81,Equilibrium
15-Mar,"Chicago, IL metro area",200000,7202,13895,32008,71,96.3,5.4,1.4,3.77,93,22.5,Seller
15-Apr,"Chicago, IL metro area",210000,8024,14839,34317,52,96.8,5.4,1.4,3.67,95.9,23.38,Seller
15-May,"Chicago, IL metro area",223000,9208,14079,35577,42,97,5.6,1.59,3.84,90.7,25.88,Seller
15-Jun,"Chicago, IL metro area",234000,11266,13524,36406,39,97.2,5.3,1.68,3.98,96.1,30.95,Seller
15-Jul,"Chicago, IL metro area",228000,10698,12442,36488,40,97.1,5.2,1.66,4.05,93.1,29.32,Seller
15-Aug,"Chicago, IL metro area",224000,9481,11033,35674,44,96.9,5.1,1.47,3.91,91.9,26.58,Seller
15-Sep,"Chicago, IL metro area",210000,8485,10154,34764,46,96.8,5,1.46,3.89,87.2,24.41,Seller
15-Oct,"Chicago, IL metro area",200000,8135,9242,33092,52,96.6,5,1.43,3.8,90,24.58,Seller
15-Nov,"Chicago, IL metro area",197000,6136,6624,29976,55,96.4,5.1,1.38,3.94,91.3,20.47,Seller
15-Dec,"Chicago, IL metro area",200000,7293,4960,26386,58,96.3,5,1.26,3.96,92.6,27.64,Seller
16-Jan,"Chicago, IL metro area",190000,5406,8142,26407,66,96.3,4.8,1.19,3.87,92,20.47,Seller
16-Feb,"Chicago, IL metro area",190000,5376,11658,28272,71,96.4,4.9,1.05,3.66,91.7,19.02,Equilibrium
16-Mar,"Chicago, IL metro area",210000,7324,14110,29924,63,96.9,5,1.01,3.69,91,24.48,Seller
16-Apr,"Chicago, IL metro area",231000,8850,14290,31367,41,97.2,5.1,1.04,3.61,89,28.21,Seller
16-May,"Chicago, IL metro area",235000,10064,13914,32411,36,97.4,4.8,0.99,3.6,94.7,31.05,Seller
16-Jun,"Chicago, IL metro area",246000,11632,13501,32889,33,97.6,4.9,0.91,3.57,93.5,35.37,Seller
16-Jul,"Chicago, IL metro area",241000,9987,11731,32922,35,97.5,4.8,0.83,3.44,90,30.34,Seller
16-Aug,"Chicago, IL metro area",235000,10312,10976,32118,39,97.2,4.9,0.82,3.44,89.8,32.11,Seller
16-Sep,"Chicago, IL metro area",220000,8627,10170,31723,41,97.1,5,0.86,3.46,91.2,27.19,Seller
16-Oct,"Chicago, IL metro area",220000,7726,8582,29915,46,96.9,4.9,0.92,3.47,87.2,25.83,Seller
16-Nov,"Chicago, IL metro area",215000,7119,6558,27143,49,96.8,4.7,1.16,3.77,93.8,26.23,Seller
16-Dec,"Chicago, IL metro area",215000,7065,4599,23508,54,96.6,4.7,1.3,4.2,98.2,30.05,Seller
17-Jan,"Chicago, IL metro area",208000,5503,8477,23507,62,96.4,4.7,1.23,4.15,98.5,23.41,Seller
17-Feb,"Chicago, IL metro area",209000,5249,11272,25224,66,96.8,4.6,1.22,4.17,96.3,20.81,Seller
17-Mar,"Chicago, IL metro area",235000,8446,14289,26770,50,97.3,4.4,1.17,4.2,96.9,31.55,Seller
17-Apr,"Chicago, IL metro area",247000,8793,13150,27744,33,97.6,4.4,1.06,4.05,97,31.69,Seller
17-May,"Chicago, IL metro area",250000,10762,14020,28500,29,97.8,4.4,1,4.01,97.1,37.76,Seller
17-Jun,"Chicago, IL metro area",255000,12067,13600,29525,28,97.9,4.3,0.84,3.9,95,40.87,Seller
17-Jul,"Chicago, IL metro area",250000,9717,11502,29772,30,97.8,4.3,0.95,3.97,93.4,32.64,Seller
17-Aug,"Chicago, IL metro area",240000,10122,11195,29523,32,97.5,4.4,0.87,3.88,96.8,34.29,Seller
17-Sep,"Chicago, IL metro area",234000,8274,10152,29390,36,97.3,4.3,0.82,3.81,95.1,28.15,Seller
17-Oct,"Chicago, IL metro area",225000,7926,8931,27670,41,97,4.2,0.81,3.9,100.7,28.64,Seller
17-Nov,"Chicago, IL metro area",225000,7141,6630,24857,44,97,4.2,0.66,3.92,98.5,28.73,Seller
17-Dec,"Chicago, IL metro area",227000,7100,4523,21458,49,97,4.1,0.56,3.95,95.9,33.09,Seller
18-Jan,"Chicago, IL metro area",225000,5184,8205,21435,56,96.7,4,0.55,4.03,95.7,24.18,Seller
18-Feb,"Chicago, IL metro area",230000,5091,10341,22938,64,96.9,4.1,0.68,4.33,99.7,22.19,Seller
18-Mar,"Chicago, IL metro area",245000,7789,13691,24447,47,97.3,4,0.57,4.44,101.4,31.86,Seller
18-Apr,"Chicago, IL metro area",253000,9102,14353,26276,31,97.7,4,0.48,4.47,98.8,34.64,Seller
18-May,"Chicago, IL metro area",255000,10595,14529,28035,26,97.8,3.8,0.47,4.59,98,37.79,Seller
18-Jun,"Chicago, IL metro area",265000,11372,13175,29328,27,98,4,0.38,4.57,98.2,38.78,Seller
18-Jul,"Chicago, IL metro area",255000,9810,12221,30094,29,97.8,3.8,0.28,4.53,97.9,32.6,Seller
18-Aug,"Chicago, IL metro area",245000,9963,11226,29994,32,97.4,3.8,0.25,4.55,96.2,33.22,Seller
18-Sep,"Chicago, IL metro area",240000,7463,10087,30171,36,97.3,3.7,0.24,4.63,100.1,24.74,Seller
18-Oct,"Chicago, IL metro area",232000,7875,9335,28777,41,97.1,3.8,0.29,4.83,98.6,27.37,Seller
18-Nov,"Chicago, IL metro area",235000,7035,6226,25895,47,96.9,3.8,0.26,4.87,97.5,27.17,Seller
18-Dec,"Chicago, IL metro area",229000,6038,4123,22518,54,96.7,3.9,0.16,4.64,98.3,26.81,Seller
19-Jan,"Chicago, IL metro area",225000,4615,7700,22562,62,96.5,4,0.17,4.46,91.2,20.45,Seller
19-Feb,"Chicago, IL metro area",233000,4920,10201,24353,70,96.8,3.8,0.17,4.37,93.8,20.2,Seller
19-Mar,"Chicago, IL metro area",243000,6956,13414,26561,56,97.3,3.8,0.16,4.27,98.4,26.19,Seller
19-Apr,"Chicago, IL metro area",255000,8578,14560,28688,35,97.5,3.7,0.19,4.14,97.2,29.9,Seller
19-May,"Chicago, IL metro area",262000,10347,14269,30302,30,97.7,3.6,0.19,4.07,100,34.15,Seller
19-Jun,"Chicago, IL metro area",265000,10120,12724,31343,29,97.7,3.6,0.26,3.8,98.2,32.29,Seller
19-Jul,"Chicago, IL metro area",261000,9948,11762,31540,32,97.5,3.7,0.22,3.77,98.4,31.54,Seller
19-Aug,"Chicago, IL metro area",254000,9390,10821,31399,37,97.4,3.6,0.06,3.62,89.8,29.91,Seller
19-Sep,"Chicago, IL metro area",243000,7601,10046,30974,41,97.2,3.5,0.05,3.61,93.2,24.54,Seller
19-Oct,"Chicago, IL metro area",240000,7752,9074,29387,48,97,3.6,0.16,3.69,95.5,26.38,Seller
19-Nov,"Chicago, IL metro area",242000,6526,5802,25933,50,96.8,3.6,0.2,3.7,96.8,25.16,Seller
19-Dec,"Chicago, IL metro area",240000,6892,4420,22331,55,96.7,3.6,0.25,3.72,99.3,30.86,Seller
20-Jan,"Chicago, IL metro area",234000,5115,8306,22123,65,96.5,3.6,0.24,3.62,99.8,23.12,Seller
20-Feb,"Chicago, IL metro area",242000,5260,11035,22539,72,96.8,3.5,0.17,3.47,101,23.34,Seller
20-Mar,"Chicago, IL metro area",265000,7200,10982,22544,47,97.5,4.4,0.42,3.45,89.1,31.94,Seller
20-Apr,"Chicago, IL metro area",275000,7227,6902,21811,25,97.7,14.8,0.43,3.31,71.8,33.13,Seller
20-May,"Chicago, IL metro area",265000,6346,10203,21684,28,97.3,13.2,0.5,3.23,72.3,29.27,Seller
20-Jun,"Chicago, IL metro area",270000,8091,12939,21625,30,97.4,11,0.54,3.16,78.1,37.42,Seller
20-Jul,"Chicago, IL metro area",280000,10874,13658,22069,23,97.9,10.2,0.48,3.02,72.5,49.27,Seller
20-Aug,"Chicago, IL metro area",285000,11049,12862,22075,21,98,8.4,0.51,2.94,74.1,50.05,Seller
20-Sep,"Chicago, IL metro area",276000,10315,12132,22263,20,98.2,7.8,0.54,2.89,80.4,46.33,Seller
20-Oct,"Chicago, IL metro area",275000,10402,10646,21380,19,98.2,6.8,0.64,2.83,81.8,48.65,Seller
20-Nov,"Chicago, IL metro area",270000,8341,7089,18880,20,98.1,6.7,0.7,2.77,76.9,44.18,Seller
20-Dec,"Chicago, IL metro area",269000,9119,5331,16059,23,98.1,6.7,0.8,2.68,80.7,56.78,Seller
21-Jan,"Chicago, IL metro area",270000,6159,8125,14923,32,98,6.4,0.95,2.74,79,41.27,Seller
21-Feb,"Chicago, IL metro area",274000,6074,8838,14063,36,98.1,6.2,1.14,2.81,76.8,43.19,Seller
21-Mar,"Chicago, IL metro area",300000,9297,13580,14387,24,98.7,6.1,1.46,3.08,84.9,64.62,Seller
21-Apr,"Chicago, IL metro area",312000,10484,14716,16006,13,99.4,6.1,1.47,3.06,88.3,65.5,Seller
21-May,"Chicago, IL metro area",315000,10902,13986,17060,9,100,5.8,1.47,2.96,82.9,63.9,Seller
21-Jun,"Chicago, IL metro area",320000,13018,15026,19283,8,100.3,5.9,1.32,2.98,85.5,67.51,Seller
21-Jul,"Chicago, IL metro area",312000,11692,13923,20735,10,100.1,5.4,1.1,2.87,81.2,56.39,Seller
21-Aug,"Chicago, IL metro area",305000,11195,12112,20403,13,99.7,5.1,1.07,2.84,70.3,54.87,Seller
21-Sep,"Chicago, IL metro area",293000,9954,11477,20281,15,99.2,4.7,1.13,2.9,72.8,49.08,Seller
21-Oct,"Chicago, IL metro area",293000,9557,9872,18737,19,99,4.5,1.19,3.07,71.7,51.01,Seller
21-Nov,"Chicago, IL metro area",294000,8957,7159,16290,22,98.7,4.1,1.05,3.07,67.4,54.98,Seller
21-Dec,"Chicago, IL metro area",290000,9126,4794,14128,25,98.7,3.9,0.79,3.1,70.6,64.6,Seller
22-Jan,"Chicago, IL metro area",290000,6335,7525,17397,32,98.3,4,0.78,3.45,67.2,36.41,Seller
22-Feb,"Chicago, IL metro area",292000,6181,9108,21025,51,98.9,3.8,0.5,3.76,62.8,29.4,Seller
22-Mar,"Chicago, IL metro area",310000,8782,12376,23072,52,99.8,3.6,0.22,4.17,59.4,38.06,Seller
22-Apr,"Chicago, IL metro area",328000,9503,12441,24680,48,100.6,3.7,0.21,4.98,65.2,38.5,Seller
22-May,"Chicago, IL metro area",329000,10188,12807,25886,48,101.1,3.6,0.28,5.23,58.4,39.36,Seller
22-Jun,"Chicago, IL metro area",340000,11016,13099,26767,48,101,3.6,0.15,5.52,50,41.16,Seller
22-Jul,"Chicago, IL metro area",325000,8960,10773,26997,49,100.2,3.5,-0.14,5.41,51.5,33.19,Seller
22-Aug,"Chicago, IL metro area",310000,8987,9306,25403,53,99.3,3.6,-0.35,5.22,58.2,35.38,Seller
22-Sep,"Chicago, IL metro area",305000,7874,8550,24385,57,98.7,3.5,-0.34,6.11,58.6,32.29,Seller
22-Oct,"Chicago, IL metro area",300000,6576,7197,22882,61,98.3,3.6,-0.39,6.9,59.9,28.74,Seller
22-Nov,"Chicago, IL metro area",295000,5857,5277,20517,60,98,3.6,-0.61,6.81,56.7,28.55,Seller
22-Dec,"Chicago, IL metro area",285000,5559,3441,16893,64,97.8,3.5,-0.67,6.36,59.8,32.91,Seller
23-Jan,"Chicago, IL metro area",285000,3865,5746,17375,75,97.6,3.4,-0.68,6.27,64.9,22.24,Seller
23-Feb,"Chicago, IL metro area",290000,4304,6547,18252,75,97.9,3.6,-0.79,6.26,66.9,23.58,Seller
23-Mar,"Chicago, IL metro area",308000,6823,8690,18731,57,98.8,3.5,-0.64,6.54,62,36.43,Seller
23-Apr,"Chicago, IL metro area",320000,6660,8391,19229,51,99.5,3.4,-0.56,6.34,63.7,34.64,Seller
23-May,"Chicago, IL metro area",329000,7839,9506,19736,49,100.2,3.7,-0.56,6.43,59,39.72,Seller
23-Jun,"Chicago, IL metro area",345000,8697,9415,19499,48,100.6,3.6,-0.89,6.71,64.2,44.6,Seller
23-Jul,"Chicago, IL metro area",337000,7192,8397,19448,49,100.4,3.5,-0.93,6.84,71.5,36.98,Seller
23-Aug,"Chicago, IL metro area",335000,7769,8490,18996,49,100.2,3.8,-0.73,7.07,69.4,40.9,Seller
23-Sep,"Chicago, IL metro area",320000,6563,7559,18763,50,99.8,3.8,-0.64,7.2,67.8,34.98,Seller
23-Oct,"Chicago, IL metro area",315000,6190,6954,18142,51,99.5,3.8,-0.27,7.62,63.8,34.12,Seller
23-Nov,"Chicago, IL metro area",320000,5327,5447,16898,52,99,3.7,-0.38,7.44,61.3,31.52,Seller
23-Dec,"Chicago, IL metro area",305000,5291,3494,13987,57,98.6,3.7,-0.44,6.82,69.7,37.83,Seller
24-Jan,"Chicago, IL metro area",312000,3979,5319,14289,65,98.7,3.7,-0.26,6.64,79,27.85,Seller
24-Feb,"Chicago, IL metro area",318000,4458,7504,16158,65,99,3.9,-0.34,6.78,76.9,27.59,Seller
24-Mar,"Chicago, IL metro area",339000,5879,7945,16831,50,99.7,3.8,-0.38,6.82,79.4,34.93,Seller
24-Apr,"Chicago, IL metro area",349000,7088,9117,17355,47,100.4,3.9,-0.33,6.99,77.2,40.84,Seller
24-May,"Chicago, IL metro area",355000,7695,9222,16950,47,100.6,4,-0.37,7.06,69.1,45.4,Seller
12-Jan,"Los Angeles, CA metro area",290000,5042,8338,24956,70,97.6,8.3,1.73,3.92,75,20.2,Seller
12-Feb,"Los Angeles, CA metro area",300000,5265,8173,24005,68,97.7,8.3,1.69,3.89,75.3,21.93,Seller
12-Mar,"Los Angeles, CA metro area",310000,6811,8475,22341,65,97.9,8.2,1.83,3.95,76.2,30.49,Seller
12-Apr,"Los Angeles, CA metro area",315000,6646,7991,21260,56,98.1,8.2,1.76,3.91,76.4,31.26,Seller
12-May,"Los Angeles, CA metro area",320000,7376,8392,19788,50,98.5,8.2,1.52,3.8,79.3,37.28,Seller
12-Jun,"Los Angeles, CA metro area",330000,7621,7921,18614,43,98.9,8.2,1.33,3.68,73.2,40.94,Seller
12-Jul,"Los Angeles, CA metro area",335000,7156,7638,17510,42,99.2,8.2,1.28,3.55,72.3,40.87,Seller
12-Aug,"Los Angeles, CA metro area",337000,7922,7431,15751,39,99.1,8.1,1.41,3.6,74.3,50.3,Seller
12-Sep,"Los Angeles, CA metro area",349000,6340,6596,14480,37,99.1,7.8,1.47,3.5,78.3,43.78,Seller
12-Oct,"Los Angeles, CA metro area",345000,7258,7093,12957,36,99.2,7.8,1.47,3.38,82.6,56.02,Seller
12-Nov,"Los Angeles, CA metro area",350000,6676,5969,11739,32,99.4,7.7,1.39,3.35,82.7,56.87,Seller
12-Dec,"Los Angeles, CA metro area",353000,7389,4267,9866,32,99.2,7.9,1.46,3.35,72.9,74.89,Seller
13-Jan,"Los Angeles, CA metro area",340000,5483,6949,9977,31,99.4,8,1.65,3.41,73.8,54.96,Seller
13-Feb,"Los Angeles, CA metro area",360000,5182,6836,9810,25,99.6,7.7,1.72,3.53,77.6,52.82,Seller
13-Mar,"Los Angeles, CA metro area",389000,6595,7550,9572,20,100.2,7.5,1.7,3.57,78.6,68.9,Seller
13-Apr,"Los Angeles, CA metro area",404000,6796,8559,10322,18,100.5,7.6,1.53,3.45,76.4,65.84,Seller
13-May,"Los Angeles, CA metro area",416000,7490,8529,10888,15,100.9,7.5,1.68,3.54,84.5,68.79,Seller
13-Jun,"Los Angeles, CA metro area",435000,6956,8560,12001,16,101.2,7.5,1.97,4.07,84.1,57.96,Seller
13-Jul,"Los Angeles, CA metro area",431000,7288,9156,13137,16,101,7.3,2.24,4.37,85.1,55.48,Seller
13-Aug,"Los Angeles, CA metro area",440000,7593,8604,13602,18,100.8,7.2,2.38,4.46,82.1,55.82,Seller
13-Sep,"Los Angeles, CA metro area",433000,6218,7924,14419,20,100.4,7.2,2.41,4.49,77.5,43.12,Seller
13-Oct,"Los Angeles, CA metro area",436000,6683,7720,14212,23,100,7.2,2.28,4.19,73.2,47.02,Seller
13-Nov,"Los Angeles, CA metro area",430000,5642,5700,13185,26,99.7,6.9,2.41,4.26,75.1,42.79,Seller
13-Dec,"Los Angeles, CA metro area",439000,6005,4378,11670,27,99.5,6.7,2.56,4.46,82.5,51.46,Seller
14-Jan,"Los Angeles, CA metro area",425000,4793,7303,12588,33,99.2,6.6,2.46,4.43,81.2,38.08,Seller
14-Feb,"Los Angeles, CA metro area",432000,4442,6873,12795,32,99.2,6.7,2.38,4.3,81.6,34.72,Seller
14-Mar,"Los Angeles, CA metro area",450000,5514,8204,13358,26,99.5,6.7,2.32,4.34,80,41.28,Seller
14-Apr,"Los Angeles, CA metro area",458000,6301,8245,13504,24,99.5,6.2,2.29,4.34,84.1,46.66,Seller
14-May,"Los Angeles, CA metro area",465000,6438,8537,13938,23,99.7,6.3,2.17,4.19,81.9,46.19,Seller
14-Jun,"Los Angeles, CA metro area",465000,6462,8460,15285,23,99.7,6.1,2.15,4.16,82.5,42.28,Seller
14-Jul,"Los Angeles, CA metro area",475000,6733,8699,16867,22,99.7,6.2,2.04,4.13,81.8,39.92,Seller
14-Aug,"Los Angeles, CA metro area",478000,6439,7885,17250,26,99.3,6.1,1.95,4.12,82.5,37.33,Seller
14-Sep,"Los Angeles, CA metro area",470000,6038,7631,17872,31,99.1,5.9,1.97,4.16,84.6,33.78,Seller
14-Oct,"Los Angeles, CA metro area",475000,6421,7873,17535,38,99,5.7,1.86,4.04,86.9,36.62,Seller
14-Nov,"Los Angeles, CA metro area",465000,5104,5441,16169,41,98.8,5.8,1.8,4,88.8,31.57,Seller
14-Dec,"Los Angeles, CA metro area",468000,6008,4295,13724,44,98.7,5.6,1.57,3.86,93.6,43.78,Seller
15-Jan,"Los Angeles, CA metro area",465000,4425,7391,14582,50,98.4,5.7,1.33,3.67,98.1,30.35,Seller
15-Feb,"Los Angeles, CA metro area",470000,4305,7392,15225,45,98.8,5.5,1.36,3.71,95.4,28.28,Seller
