"Region","Median.Sale.Price","Median.Sale.Price.MoM","Median.Sale.Price.YoY","Homes.Sold","Homes.Sold.MoM","Homes.Sold.YoY","New.Listings","New.Listings.MoM","New.Listings.YoY","Inventory","Inventory.MoM","Inventory.YoY","Days.on.Market","Days.on.Market.MoM","Days.on.Market.YoY","Average.Sale.To.List","Average.Sale.To.List.MoM","Average.Sale.To.List.YoY","DATE","CSUSHPISA","MEDSQUFEEUS","MEDSQUFEE14460","MEDSQUFEE16980","MEDSQUFEE6037","MEDSQUFEE42101","MEDSQUFEE42660","MEDSQUFEE47900","UNRATE.y","T10Y2Y.y","MORTGAGE30US.y","UMCSENT.y","Sold.Inventory.Ratio","Market.Type"
" National","$159K","-6.40%","-4.40%",274425,"-23.40%","8.30%","484,633","50.50%","-3.10%",2049020,"0.40%","-17.40%",96,2,-8,"95.60%","-0.10%","0.20%","01/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.3,1.726,3.915,75,13.3929878673707,"Buyer"
" National","$160K","0.50%","-1.70%",302862,"10.40%","13.60%","519,906","7.30%","5.10%",2072924,"1.20%","-16.80%",97,1,-11,"95.80%","0.20%","0.30%","02/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.3,1.6895,3.89,75.3,14.6103764537436,"Buyer"
" National","$171K","7.00%","4.30%",391339,"29.20%","6.70%","628,620","20.90%","-5.20%",2114750,"2.00%","-16.80%",92,-4,-12,"96.20%","0.40%","0.60%","03/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.82818181818182,3.954,76.2,18.5052133821965,"Equilibrium"
" National","$178K","4.10%","6.00%",401834,"2.70%","8.20%","613,082","-2.50%","-2.50%",2151676,"1.70%","-16.90%",80,-12,-17,"96.50%","0.30%","0.70%","04/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.76095238095238,3.91,76.4,18.6753953662168,"Equilibrium"
" National","$186K","4.70%","8.20%",460868,"14.70%","16.40%","614,708","0.30%","-0.40%",2160029,"0.40%","-17.40%",72,-8,-17,"96.90%","0.30%","1.00%","05/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.51818181818182,3.798,79.3,21.3361950233076,"Seller"
" National","$194K","4.10%","7.40%",484659,"5.20%","9.70%","580,796","-5.50%","-3.50%",2141938,"-0.80%","-17.70%",68,-4,-15,"97.00%","0.20%","1.00%","06/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.33047619047619,3.675,73.2,22.6271255283766,"Seller"
" National","$192K","-1.00%","7.30%",447927,"-7.60%","13.90%","544,275","-6.30%","2.50%",2104352,"-1.80%","-17.60%",68,0,-15,"97.10%","0.00%","1.10%","07/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.27857142857143,3.55,72.3,21.2857449704232,"Seller"
" National","$191K","-0.70%","8.60%",482132,"7.60%","14.60%","539,758","-0.80%","1.20%",2042916,"-2.90%","-17.60%",70,2,-16,"97.00%","-0.10%","1.10%","08/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.1,1.4095652173913,3.602,74.3,23.6001871834182,"Seller"
" National","$187K","-1.80%","8.80%",389689,"-19.20%","4.20%","481,333","-10.80%","-0.40%",2001953,"-2.00%","-16.70%",72,2,-17,"97.00%","0.00%","1.20%","09/01/12",NA,NA,NA,NA,NA,NA,NA,NA,7.8,1.4678947368421,3.4975,78.3,19.465441995891,"Equilibrium"
" National","$185K","-1.10%","10.20%",420452,"7.90%","22.60%","489,429","1.70%","5.40%",1926567,"-3.80%","-17.00%",73,1,-18,"97.00%","0.00%","1.20%","10/01/12",NA,NA,NA,NA,NA,NA,NA,NA,7.8,1.46904761904762,3.3825,82.6,21.8238971185534,"Seller"
" National","$189K","2.40%","11.30%",396043,"-5.80%","20.30%","387,630","-20.80%","-2.70%",1813971,"-5.80%","-18.10%",73,0,-19,"96.90%","0.00%","1.20%","11/01/12",NA,NA,NA,NA,NA,NA,NA,NA,7.7,1.386,3.352,82.7,21.8329289718524,"Seller"
" National","$194K","2.20%","13.90%",388924,"-1.80%","8.60%","298,759","-22.90%","-7.20%",1655680,"-8.70%","-18.90%",76,3,-18,"96.90%","-0.10%","1.10%","12/01/12",NA,NA,NA,NA,NA,NA,NA,NA,7.9,1.462,3.345,72.9,23.4902879783533,"Seller"
" National","$180K","-7.00%","13.20%",309443,"-20.40%","12.80%","491,504","64.50%","1.40%",1671879,"1.00%","-18.40%",79,3,-17,"96.80%","-0.10%","1.20%","01/01/13",NA,NA,NA,NA,NA,NA,NA,NA,8,1.64952380952381,3.414,73.8,18.5086959044285,"Equilibrium"
" National","$181K","0.60%","13.40%",319589,"3.30%","5.50%","507,036","3.20%","-2.50%",1707163,"2.10%","-17.60%",79,0,-18,"97.00%","0.20%","1.20%","02/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.7,1.71684210526316,3.5325,77.6,18.7204736747458,"Equilibrium"
" National","$193K","6.80%","13.20%",416449,"30.30%","6.40%","608,974","20.10%","-3.10%",1751126,"2.60%","-17.20%",71,-8,-22,"97.40%","0.40%","1.20%","03/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.5,1.7015,3.565,78.6,23.7817838350867,"Seller"
" National","$199K","3.10%","12.10%",456482,"9.60%","13.60%","692,433","13.70%","12.90%",1839120,"5.00%","-14.50%",61,-10,-20,"97.70%","0.30%","1.20%","04/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.6,1.52681818181818,3.445,76.4,24.8206751054852,"Seller"
" National","$209K","5.00%","12.40%",529438,"16.00%","14.90%","707,896","2.20%","15.20%",1910418,"3.90%","-11.60%",55,-6,-17,"97.90%","0.20%","1.10%","05/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.5,1.67772727272727,3.536,84.5,27.7132020322254,"Seller"
" National","$219K","4.50%","12.80%",521845,"-1.40%","7.70%","652,864","-7.80%","12.40%",1952961,"2.20%","-8.80%",53,-2,-16,"98.10%","0.10%","1.00%","06/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.5,1.9665,4.07,84.1,26.7207076843828,"Seller"
" National","$220K","0.60%","14.60%",543162,"4.10%","21.30%","652,972","0.00%","20.00%",1981481,"1.50%","-5.80%",53,0,-15,"98.00%","0.00%","0.90%","07/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.3,2.24136363636364,4.37,85.1,27.4119206795321,"Seller"
" National","$217K","-1.30%","13.90%",533795,"-1.70%","10.70%","615,827","-5.70%","14.10%",1981583,"0.00%","-3.00%",54,1,-16,"97.80%","-0.20%","0.80%","08/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.2,2.38090909090909,4.456,82.1,26.9378067938613,"Seller"
" National","$210K","-3.30%","12.20%",445100,"-16.60%","14.20%","553,902","-10.10%","15.10%",1985261,"0.20%","-0.80%",58,4,-14,"97.60%","-0.30%","0.60%","09/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.2,2.4055,4.49,77.5,22.4202258544343,"Seller"
" National","$210K","0.00%","13.50%",444651,"-0.10%","5.80%","545,138","-1.60%","11.40%",1956098,"-1.50%","1.50%",61,2,-12,"97.40%","-0.20%","0.40%","10/01/13",NA,NA,NA,NA,NA,NA,NA,NA,7.2,2.28045454545455,4.192,73.2,22.7315298108786,"Seller"
" National","$208K","-0.90%","9.80%",381140,"-14.30%","-3.80%","408,594","-25.00%","5.40%",1854846,"-5.20%","2.30%",64,4,-8,"97.20%","-0.20%","0.30%","11/01/13",NA,NA,NA,NA,NA,NA,NA,NA,6.9,2.41473684210526,4.255,75.1,20.5483366274073,"Seller"
" National","$212K","1.80%","9.50%",405538,"6.40%","4.30%","309,040","-24.40%","3.40%",1688129,"-9.00%","2.00%",68,4,-8,"97.10%","-0.20%","0.20%","12/01/13",NA,NA,NA,NA,NA,NA,NA,NA,6.7,2.56190476190476,4.4575,82.5,24.0229271578179,"Seller"
" National","$200K","-5.50%","11.30%",300806,"-25.80%","-2.80%","478,941","55.00%","-2.60%",1705112,"1.00%","2.00%",76,7,-3,"96.80%","-0.20%","0.00%","01/01/14",NA,NA,NA,NA,NA,NA,NA,NA,6.6,2.46428571428571,4.432,81.2,17.6414217951665,"Equilibrium"
" National","$201K","0.50%","11.10%",308251,"2.50%","-3.50%","494,136","3.20%","-2.50%",1739845,"2.00%","1.90%",78,3,-1,"97.00%","0.20%","0.00%","02/01/14",NA,NA,NA,NA,NA,NA,NA,NA,6.7,2.38263157894737,4.3025,81.6,17.7171529647756,"Equilibrium"
" National","$210K","4.10%","8.30%",389278,"26.30%","-6.50%","646,786","30.90%","6.20%",1809227,"4.00%","3.30%",71,-8,0,"97.20%","0.20%","-0.10%","03/01/14",NA,NA,NA,NA,NA,NA,NA,NA,6.7,2.32428571428571,4.3425,80,21.5162608119379,"Seller"
" National","$215K","2.80%","8.00%",440406,"13.10%","-3.50%","723,128","11.80%","4.40%",1869922,"3.40%","1.70%",60,-11,-1,"97.50%","0.30%","-0.20%","04/01/14",NA,NA,NA,NA,NA,NA,NA,NA,6.2,2.28809523809524,4.3375,84.1,23.5521053819357,"Seller"
" National","$222K","3.10%","6.10%",503339,"14.30%","-4.90%","748,825","3.60%","5.80%",1940655,"3.80%","1.60%",52,-8,-2,"97.70%","0.10%","-0.30%","05/01/14",NA,NA,NA,NA,NA,NA,NA,NA,6.3,2.17,4.192,81.9,25.9365523495933,"Seller"
" National","$230K","3.40%","5.00%",538508,"7.00%","3.20%","705,900","-5.70%","8.10%",2025705,"4.40%","3.70%",48,-5,-5,"97.80%","0.10%","-0.30%","06/01/14",NA,NA,NA,NA,NA,NA,NA,NA,6.1,2.14619047619048,4.1625,82.5,26.5837325770534,"Seller"
" National","$229K","-0.30%","4.10%",530184,"-1.50%","-2.40%","678,606","-3.90%","3.90%",2112498,"4.30%","6.60%",46,-2,-7,"97.70%","-0.10%","-0.30%","07/01/14",NA,NA,NA,NA,NA,NA,NA,NA,6.2,2.03590909090909,4.13,81.8,25.0974912165597,"Seller"
" National","$227K","-0.90%","4.50%",510969,"-3.60%","-4.30%","604,282","-11.00%","-1.90%",2102878,"-0.50%","6.10%",51,5,-3,"97.50%","-0.20%","-0.40%","08/01/14",NA,NA,NA,NA,NA,NA,NA,NA,6.1,1.94761904761905,4.115,82.5,24.2985565496429,"Seller"
" National","$220K","-2.80%","5.00%",466650,"-8.70%","4.80%","577,827","-4.40%","4.30%",2086277,"-0.80%","5.10%",57,6,-1,"97.30%","-0.20%","-0.30%","09/01/14",NA,NA,NA,NA,NA,NA,NA,NA,5.9,1.96761904761905,4.1625,84.6,22.3675954822873,"Seller"
" National","$220K","-0.40%","4.50%",477321,"2.30%","7.30%","559,555","-3.20%","2.60%",2024170,"-3.00%","3.50%",62,5,1,"97.10%","-0.10%","-0.30%","10/01/14",NA,NA,NA,NA,NA,NA,NA,NA,5.7,1.85863636363636,4.036,86.9,23.5810727359856,"Seller"
" National","$220K","0.40%","5.90%",375617,"-21.30%","-1.40%","399,754","-28.60%","-2.20%",1899849,"-6.10%","2.40%",64,2,0,"97.10%","-0.10%","-0.10%","11/01/14",NA,NA,NA,NA,NA,NA,NA,NA,5.8,1.79833333333333,3.9975,88.8,19.770887054708,"Equilibrium"
" National","$223K","1.10%","5.20%",441655,"17.60%","8.90%","329,182","-17.70%","6.50%",1725868,"-9.20%","2.20%",68,4,-1,"97.00%","-0.10%","-0.10%","12/01/14",NA,NA,NA,NA,NA,NA,NA,NA,5.6,1.57181818181818,3.864,93.6,25.5903116576702,"Seller"
" National","$214K","-4.20%","6.60%",307442,"-30.40%","2.20%","504,429","53.20%","5.30%",1724058,"-0.10%","1.10%",76,8,1,"96.70%","-0.20%","-0.10%","01/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.7,1.33,3.67,98.1,17.8324627129714,"Equilibrium"
" National","$215K","0.80%","6.90%",331872,"7.90%","7.70%","525,737","4.20%","6.40%",1737476,"0.80%","-0.10%",76,0,-2,"97.00%","0.30%","0.00%","02/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.5,1.35631578947368,3.71,95.4,19.1008106011249,"Equilibrium"
" National","$226K","4.90%","7.80%",454109,"36.80%","16.70%","706,220","34.30%","9.20%",1801980,"3.70%","-0.40%",67,-9,-3,"97.50%","0.40%","0.30%","03/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.4,1.40227272727273,3.77,93,25.2005571648964,"Seller"
" National","$232K","2.80%","7.80%",491060,"8.10%","11.50%","795,034","12.60%","9.90%",1917988,"6.40%","2.60%",56,-12,-4,"97.80%","0.30%","0.30%","04/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.4,1.395,3.672,95.9,25.6028713422607,"Seller"
" National","$239K","3.20%","7.80%",539666,"9.90%","7.20%","779,691","-1.90%","4.10%",2004463,"4.50%","3.30%",48,-7,-4,"98.00%","0.20%","0.30%","05/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.6,1.5885,3.84,90.7,26.9232208327118,"Seller"
" National","$246K","2.70%","7.00%",626585,"16.10%","16.40%","757,740","-2.80%","7.30%",2039722,"1.80%","0.70%",45,-3,-3,"98.10%","0.10%","0.40%","06/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.3,1.675,3.9825,96.1,30.7191372157578,"Seller"
" National","$243K","-1.20%","6.10%",617502,"-1.40%","16.50%","725,103","-4.30%","6.90%",2053475,"0.70%","-2.80%",46,0,0,"98.00%","-0.10%","0.40%","07/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.2,1.65681818181818,4.046,93.1,30.0710746417658,"Seller"
" National","$241K","-0.90%","6.10%",558829,"-9.50%","9.40%","644,638","-11.10%","6.70%",2021326,"-1.60%","-3.90%",47,2,-4,"97.90%","-0.20%","0.40%","08/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.1,1.46952380952381,3.905,91.9,27.6466537312635,"Seller"
" National","$234K","-2.70%","6.20%",521257,"-6.70%","11.70%","605,305","-6.10%","4.80%",1988026,"-1.60%","-4.70%",51,3,-6,"97.70%","-0.20%","0.40%","09/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5,1.45952380952381,3.89,87.2,26.2198281109,"Seller"
" National","$233K","-0.40%","6.20%",492849,"-5.40%","3.30%","568,631","-6.10%","1.60%",1913774,"-3.70%","-5.50%",54,3,-8,"97.50%","-0.20%","0.40%","10/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5,1.4252380952381,3.796,90,25.7527273335305,"Seller"
" National","$235K","1.00%","6.80%",390621,"-20.70%","4.00%","432,580","-23.90%","8.20%",1786521,"-6.60%","-6.00%",57,3,-7,"97.40%","-0.10%","0.30%","11/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5.1,1.37842105263158,3.9425,91.3,21.8648983135379,"Seller"
" National","$239K","1.60%","7.20%",484120,"23.90%","9.60%","338,153","-21.80%","2.70%",1597440,"-10.60%","-7.40%",60,3,-7,"97.40%","0.00%","0.40%","12/01/15",NA,NA,NA,NA,NA,NA,NA,NA,5,1.26,3.964,92.6,30.3059895833333,"Seller"
" National","$229K","-4.20%","7.20%",338958,"-30.00%","10.30%","496,987","47.00%","-1.50%",1596833,"0.00%","-7.40%",66,6,-10,"97.20%","-0.20%","0.50%","01/01/16",NA,NA,NA,NA,NA,NA,NA,NA,4.8,1.18578947368421,3.8725,92,21.2268909773282,"Seller"
" National","$228K","-0.40%","5.90%",361652,"6.70%","9.00%","585,142","17.70%","11.30%",1632982,"2.30%","-6.00%",69,2,-8,"97.30%","0.10%","0.30%","02/01/16",NA,NA,NA,NA,NA,NA,NA,NA,4.9,1.046,3.66,91.7,22.1467229889858,"Seller"
" National","$240K","5.20%","6.20%",480784,"32.90%","5.90%","753,674","28.80%","6.70%",1713296,"4.90%","-4.90%",60,-9,-7,"97.80%","0.50%","0.40%","03/01/16",NA,NA,NA,NA,NA,NA,NA,NA,5,1.01409090909091,3.694,91,28.0619344234738,"Seller"
" National","$246K","2.50%","6.00%",521308,"8.40%","6.20%","776,432","3.00%","-2.30%",1787405,"4.30%","-6.80%",49,-11,-7,"98.10%","0.30%","0.30%","04/01/16",NA,NA,NA,NA,NA,NA,NA,NA,5.1,1.03714285714286,3.605,89,29.1656339777499,"Seller"
" National","$253K","2.80%","5.60%",586077,"12.40%","8.60%","760,433","-2.10%","-2.50%",1825328,"2.10%","-8.90%",43,-6,-5,"98.40%","0.20%","0.30%","05/01/16",NA,NA,NA,NA,NA,NA,NA,NA,4.8,0.99,3.6,94.7,32.1080375691383,"Seller"
" National","$260K","2.80%","5.70%",654822,"11.70%","4.50%","760,548","0.00%","0.40%",1866813,"2.30%","-8.50%",41,-2,-4,"98.40%","0.10%","0.30%","06/01/16",NA,NA,NA,NA,NA,NA,NA,NA,4.9,0.912727272727273,3.568,93.5,35.0770002137332,"Seller"
" National","$258K","-0.90%","6.10%",579193,"-11.50%","-6.20%","682,752","-10.20%","-5.80%",1881037,"0.80%","-8.40%",42,0,-4,"98.40%","-0.10%","0.30%","07/01/16","180.847","1927","2103","1963","1800","1251","2130","2172",4.8,0.8315,3.44,90,30.7911540283365,"Seller"
" National","$256K","-0.60%","6.50%",608571,"5.10%","8.90%","659,646","-3.40%","2.30%",1841133,"-2.10%","-8.90%",44,2,-3,"98.20%","-0.20%","0.30%","08/01/16","181.836","1921","2100","1945","1787","1250","2106","2158",4.9,0.819130434782609,3.435,89.8,33.0541574128539,"Seller"
" National","$253K","-1.10%","8.30%",547099,"-10.10%","5.00%","614,275","-6.90%","1.50%",1819009,"-1.20%","-8.50%",47,3,-4,"98.00%","-0.20%","0.30%","09/01/16","182.81","1920","2086","1920","1774","1248","2107","2123",5,0.859523809523809,3.46,91.2,30.0767615773204,"Seller"
" National","$252K","-0.50%","8.20%",497867,"-9.00%","1.00%","541,687","-11.80%","-4.70%",1735580,"-4.60%","-9.30%",50,3,-4,"97.90%","-0.10%","0.40%","10/01/16","183.738","1913","2056","1911","1778","1250","2090","2110",4.9,0.9215,3.47,87.2,28.6859147950541,"Seller"
" National","$255K","1.30%","8.50%",472284,"-5.10%","20.90%","443,550","-18.10%","2.50%",1602485,"-7.70%","-10.30%",51,1,-6,"97.80%","-0.10%","0.40%","11/01/16","184.748","1903","2045","1900","1775","1244","2110","2100",4.7,1.1625,3.77,93.8,29.471976336752,"Seller"
" National","$255K","-0.10%","6.70%",493038,"4.40%","1.80%","331,612","-25.20%","-1.90%",1416975,"-11.60%","-11.30%",55,4,-5,"97.70%","-0.10%","0.30%","12/01/16","185.71","1891","2017","1871","1772","1238","2110","2083",4.7,1.2952380952381,4.198,98.2,34.7951092997406,"Seller"
" National","$247K","-3.00%","8.00%",357670,"-27.50%","5.50%","506,439","52.70%","1.90%",1407944,"-0.60%","-11.80%",60,5,-6,"97.50%","-0.10%","0.30%","01/01/17","186.792","1885","2012","1880","1757","1242","2110","2094",4.7,1.226,4.15,98.5,25.4037092384356,"Seller"
" National","$248K","0.20%","8.70%",364875,"2.00%","0.90%","569,284","12.40%","-2.70%",1438594,"2.20%","-11.90%",60,0,-8,"97.70%","0.20%","0.40%","02/01/17","187.31","1897","2056","1922","1762","1253","2151","2130",4.6,1.21789473684211,4.1675,96.3,25.3633061169447,"Seller"
" National","$258K","4.30%","7.70%",528153,"44.70%","9.90%","766,672","34.70%","1.70%",1515635,"5.40%","-11.50%",50,-10,-10,"98.10%","0.40%","0.30%","03/01/17","187.988","1918","2099","1990","1777","1260","2144","2191",4.4,1.16869565217391,4.196,96.9,34.8469783292151,"Seller"
" National","$263K","1.90%","7.00%",511425,"-3.20%","-1.90%","727,384","-5.10%","-6.30%",1579452,"4.20%","-11.60%",41,-9,-8,"98.50%","0.40%","0.40%","04/01/17","188.719","1947","2100","2000","1780","1260","2150","2228",4.4,1.05631578947368,4.045,97,32.3799013835178,"Seller"
" National","$269K","2.30%","6.60%",623719,"22.00%","6.40%","803,801","10.50%","5.70%",1638543,"3.70%","-10.20%",37,-4,-6,"98.70%","0.20%","0.30%","05/01/17","189.607","1967","2100","2013","1827","1260","2168","2249",4.4,1.00181818181818,4.01,97.1,38.0654642569649,"Seller"
" National","$278K","3.30%","7.00%",685718,"9.90%","4.70%","784,285","-2.40%","3.10%",1695636,"3.50%","-9.20%",35,-2,-6,"98.80%","0.10%","0.30%","06/01/17","190.516","1977","2101","2013","1819","1257","2175","2250",4.3,0.844545454545454,3.904,95,40.4401652241401,"Seller"
" National","$274K","-1.50%","6.30%",585365,"-14.60%","1.10%","687,975","-12.30%","0.80%",1705373,"0.60%","-9.30%",36,1,-6,"98.70%","-0.10%","0.30%","07/01/17","191.462","1975","2074","2000","1822","1260","2158","2228",4.3,0.9455,3.9675,93.4,34.3247488965757,"Seller"
" National","$272K","-0.70%","6.20%",622906,"6.40%","2.40%","679,626","-1.20%","3.00%",1683023,"-1.30%","-8.60%",39,3,-5,"98.50%","-0.20%","0.30%","08/01/17","192.646","1967","2064","1985","1810","1257","2132","2192",4.4,0.873913043478261,3.88,96.8,37.0111400735462,"Seller"
" National","$269K","-1.00%","6.30%",530296,"-14.90%","-3.10%","590,409","-13.10%","-3.90%",1658479,"-1.50%","-8.80%",42,3,-5,"98.30%","-0.20%","0.30%","09/01/17","193.741","1960","2032","1965","1800","1258","2140","2177",4.3,0.8175,3.805,95.1,31.9748395970042,"Seller"
" National","$269K","-0.30%","6.50%",521652,"-1.60%","4.80%","574,706","-2.70%","6.10%",1585316,"-4.40%","-8.70%",44,2,-6,"98.20%","-0.10%","0.30%","10/01/17","194.788","1951","2036","1946","1801","1266","2114","2163",4.2,0.81047619047619,3.895,100.7,32.9052378200939,"Seller"
" National","$271K","1.00%","6.20%",490800,"-5.90%","3.90%","459,016","-20.10%","3.50%",1460362,"-7.90%","-8.90%",46,2,-5,"98.10%","-0.10%","0.30%","11/01/17","195.941","1940","2020","1924","1807","1276","2133","2226",4.2,0.656666666666667,3.922,98.5,33.6081053875683,"Seller"
" National","$272K","0.20%","6.60%",494123,"0.70%","0.20%","326,867","-28.80%","-1.40%",1283531,"-12.10%","-9.40%",50,4,-5,"98.00%","-0.10%","0.30%","12/01/17","197.161","1917","2012","1895","1820","1252","2148","2040",4.1,0.5585,3.95,95.9,38.4971613463173,"Seller"
" National","$265K","-2.50%","7.20%",359997,"-27.10%","0.70%","505,554","54.70%","-0.20%",1273953,"-0.70%","-9.50%",54,3,-6,"97.80%","-0.20%","0.30%","01/01/18","198.301","1908","2007","1893","1806","1257","2184","2054",4,0.551904761904762,4.0325,95.7,28.2582638448985,"Seller"
" National","$269K","1.50%","8.50%",371710,"3.30%","1.90%","566,426","12.00%","-0.50%",1316109,"3.30%","-8.50%",53,0,-7,"98.10%","0.30%","0.40%","02/01/18","199.228","1917","2025","1951","1814","1252","2179","2090",4.1,0.683684210526316,4.33,99.7,28.243101445245,"Seller"
" National","$278K","3.40%","7.60%",511958,"37.70%","-3.10%","727,297","28.40%","-5.10%",1373203,"4.30%","-9.40%",45,-8,-5,"98.50%","0.40%","0.40%","03/01/18","199.966","1940","2061","2000","1824","1235","2172","2116",4,0.566666666666667,4.444,101.4,37.2820333191815,"Seller"
" National","$282K","1.60%","7.30%",535355,"4.60%","4.70%","770,531","5.90%","5.90%",1451994,"5.70%","-8.10%",36,-9,-5,"98.80%","0.30%","0.30%","04/01/18","200.661","1964","2042","2015","1845","1238","2153","2129",4,0.484761904761905,4.4675,98.8,36.8703314201023,"Seller"
" National","$289K","2.20%","7.10%",622735,"16.30%","-0.20%","833,293","8.10%","3.70%",1555584,"7.10%","-5.10%",33,-4,-4,"98.90%","0.20%","0.20%","05/01/18","201.424","1980","2056","2021","1855","1248","2180","2140",3.8,0.465909090909091,4.586,98,40.0322322677528,"Seller"
" National","$294K","1.80%","5.50%",658310,"5.70%","-4.00%","778,695","-6.60%","-0.70%",1629490,"4.80%","-3.90%",31,-2,-4,"98.90%","0.00%","0.20%","06/01/18","202.239","1990","2045","2016","1858","1262","2180","2256",4,0.379047619047619,4.57,98.2,40.3997569791775,"Seller"
" National","$288K","-1.80%","5.30%",611059,"-7.20%","4.40%","715,104","-8.20%","3.90%",1650435,"1.30%","-3.20%",32,1,-4,"98.80%","-0.20%","0.10%","07/01/18","202.91","1984","2034","2000","1845","1260","2136","2212",3.8,0.282380952380952,4.5275,97.9,37.024117884073,"Seller"
" National","$285K","-1.00%","4.90%",628223,"2.80%","0.90%","708,400","-0.90%","4.20%",1674198,"1.40%","-0.50%",36,4,-3,"98.50%","-0.30%","0.00%","08/01/18","203.656","1970","2012","1980","1804","1260","2104","2172",3.8,0.253478260869565,4.55,96.2,37.5238173740501,"Seller"
" National","$280K","-2.00%","3.90%",489908,"-22.00%","-7.60%","606,942","-14.30%","2.80%",1696740,"1.30%","2.30%",39,3,-3,"98.30%","-0.20%","0.00%","09/01/18","204.313","1954","1989","1966","1778","1272","2041","2137",3.7,0.236315789473684,4.6275,100.1,28.8734868041067,"Seller"
" National","$279K","-0.40%","3.70%",522336,"6.60%","0.10%","609,153","0.40%","6.00%",1668217,"-1.70%","5.20%",43,4,-1,"98.10%","-0.20%","-0.10%","10/01/18","205.079","1944","1967","1934","1767","1267","2036","2111",3.8,0.291363636363636,4.83,98.6,31.3110344757307,"Seller"
" National","$280K","0.40%","3.20%",474930,"-9.10%","-3.20%","465,698","-23.50%","1.50%",1570813,"-5.80%","7.60%",46,3,0,"97.90%","-0.20%","-0.20%","11/01/18","205.652","1930","1947","1901","1748","1260","2018","2114",3.8,0.258,4.866,97.5,30.2346619234753,"Seller"
" National","$279K","-0.40%","2.50%",440713,"-7.20%","-10.80%","318,542","-31.60%","-2.50%",1402594,"-10.70%","9.30%",51,5,0,"97.70%","-0.20%","-0.30%","12/01/18","206.142","1911","1937","1865","1728","1256","2040","2133",3.9,0.156315789473684,4.6375,98.3,31.4212808553295,"Seller"
" National","$273K","-2.00%","3.00%",332825,"-24.50%","-7.50%","533,254","67.40%","5.50%",1419890,"1.20%","11.50%",57,7,4,"97.50%","-0.20%","-0.40%","01/01/19","206.535","1901","1907","1863","1707","1249","2085","2155",4,0.17047619047619,4.464,91.2,23.4401960715267,"Seller"
" National","$276K","1.20%","2.80%",371078,"11.50%","-0.20%","546,166","2.40%","-3.60%",1439087,"1.40%","9.30%",59,2,6,"97.80%","0.30%","-0.40%","02/01/19","206.86","1908","1925","1903","1722","1257","2141","2195",3.8,0.172105263157895,4.37,93.8,25.7856543766986,"Seller"
" National","$284K","2.90%","2.30%",485989,"31.00%","-5.10%","714,292","30.80%","-1.80%",1496156,"4.00%","9.00%",50,-9,5,"98.10%","0.30%","-0.40%","03/01/19","207.08","1937","1973","1962","1754","1268","2137","2261",3.8,0.161428571428571,4.265,98.4,32.482508508471,"Seller"
" National","$290K","2.10%","2.80%",546323,"12.40%","2.00%","785,788","10.00%","2.00%",1568517,"4.80%","8.00%",42,-8,5,"98.40%","0.30%","-0.40%","04/01/19","207.533","1968","2025","2000","1783","1279","2160","2314",3.7,0.187619047619048,4.1425,97.2,34.8305437556622,"Seller"
" National","$299K","2.90%","3.50%",641699,"17.50%","3.00%","839,447","6.80%","0.70%",1664338,"6.10%","7.00%",37,-5,4,"98.60%","0.20%","-0.30%","05/01/19","208.15","1986","2045","2000","1811","1280","2117","2329",3.6,0.188636363636364,4.072,100,38.5558101779807,"Seller"
" National","$303K","1.60%","3.30%",620191,"-3.40%","-5.80%","742,365","-11.60%","-4.70%",1704372,"2.40%","4.60%",36,-1,5,"98.70%","0.10%","-0.30%","06/01/19","208.644","1996","2054","2000","1834","1280","2110","2340",3.6,0.26,3.8025,98.2,36.3882415341252,"Seller"
